Strategy,Regime,Days,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Positive Day Rate
Buy & Hold,Bull,1769,0.9447269341086084,0.10238253195090248,0.12331935567720341,0.8302227285301064,0.542679479932165
Buy & Hold,Bear,474,0.3914633814085309,0.21028159232329546,0.26143350079623917,0.8043406513811272,0.5379746835443038
Buy & Hold,Sideways,413,0.09978973816165926,0.07024266150965408,0.15632980247556263,0.44932354802043817,0.5230024213075061
MA Crossover,Bull,1769,1.0324808650399957,0.10735980151844352,0.11221991882219783,0.9566911350964821,0.464104013566987
MA Crossover,Bear,474,0.26268197227958523,0.12766809232222615,0.0855130573930446,1.4929660593869765,0.13924050632911392
MA Crossover,Sideways,413,0.24313555219475846,0.1389857453855897,0.11129807401366032,1.2487704447475982,0.2687651331719128
RSI Mean Reversion,Bull,1769,-0.0029701270076618602,-0.0003571526295001234,0.011535845347619058,-0.030960247709444024,0.0045223289994347085
RSI Mean Reversion,Bear,474,0.07941541131719942,0.06462022045819525,0.21716685330369412,0.2975602375553508,0.20253164556962025
RSI Mean Reversion,Sideways,413,-0.0850108629301457,-0.052515580263401536,0.058125706211449496,-0.9034828767905294,0.05811138014527845
Momentum,Bull,1769,0.930431325915793,0.10004611100169998,0.11243651050904412,0.8898009245284477,0.4821933295647258
Momentum,Bear,474,0.12373793346285766,0.06325784386808875,0.04969891032680432,1.2728215458271654,0.07383966244725738
Momentum,Sideways,413,0.20903067070685677,0.12075682806055472,0.09918134568319667,1.217535689082845,0.20823244552058112
