Strategy,Transaction Cost,Total Return,CAGR,Sharpe Ratio,Max Drawdown
MA Crossover,0.0,1.8905405998097606,0.09818276649724234,0.930742068967507,-0.19926188149338198
RSI Mean Reversion,0.0,0.020719784009025632,0.0018111719316329378,0.06676356870109963,-0.33894290352793643
Momentum,0.0,1.5974899636987643,0.08787321358662581,0.8967779260494942,-0.16767546883071094
MA Crossover,0.00025,1.8538495271085975,0.09694561010428115,0.9199988607496663,-0.20046441117088465
RSI Mean Reversion,0.00025,0.013092847334257307,0.001148412763435136,0.05965001330664053,-0.34027088702906927
Momentum,0.00025,1.5226037453653873,0.08506877980147487,0.870725623273149,-0.17223919305421176
MA Crossover,0.0005,1.8176151737130923,0.09570953796952231,0.9092385158955084,-0.20166543553360006
RSI Mean Reversion,0.0005,0.005521014010162473,0.0004859264720495915,0.05253546083622038,-0.3415965356825912
Momentum,0.0005,1.44985858889269,0.08227087688840662,0.8446266419423225,-0.17677902541287904
MA Crossover,0.001,1.7464944003286593,0.09324064375920438,0.8876696538907641,-0.20406297434491272
RSI Mean Reversion,0.001,-0.00945887791741673,-0.0008382276568792424,0.03830498050911123,-0.3442408425204031
Momentum,0.001,1.3105503596525168,0.07669460937942851,0.7923084509970599,-0.18578749057625799
